OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ebb0349f3f4010c2cf9c3bffc4f5061e	Bacteria	 Chloroflexi	 Chloroflexia	 Thermomicrobiales	 JG30-KF-CM45	 JG30-KF-CM45	
edcc909e795a9d270281e1d173df86fa	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	 Acetobacteraceae	 Roseomonas	
07772953f232a0212817b653fb0a85b5	Unassigned						
15731eb7ade4702413477af1164fd2a4	Unassigned						
19dd7bb96c154fa557dcd72d90732879	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae		
1e770107d4f95e6e1c7f8a51513ef1e5	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	 uncultured_bacterium
2b71df8da6080503cfdabb79b71f5b04	Bacteria						
40d37e940ccdbf77f24b526b7fae286c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
5c3eb61b8f54e773facb1100b0000188	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales			
64f5aa445f8111ff264b01b39cf0d065	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
6c89dc69750c199b5a905471aa892d54	Bacteria						
79de530013dc894edc4ffef91d2a3585	Bacteria	 Actinobacteriota	 Actinobacteria	 Propionibacteriales	 Nocardioidaceae	 Nocardioides	
7d54dfd7504b691840d0fbc3d011f267	Bacteria						
820f6693f569e339f183638cd73a7fe6	Bacteria	 Actinobacteriota	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Lawsonella	
91f4ac9b5fb8163d425a44e7e5a69e56	Bacteria	 Firmicutes	 Bacilli	 Paenibacillales	 Paenibacillaceae	 Paenibacillus	
9580aa8a52ec18a4e92e701cdb595faa	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto_1	
a206cc680cb24a8575d7c26e9d73b6ce	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Dongiales	 Dongiaceae	 Dongia	
b2f0a7b707f691067958dbcb741aaece	Unassigned						
c22b16cc6108c04f29fea3b6d4c81571	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	
